"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-4-1","0.8782","0.8800","0.8804","0.8767","","-0.20%"
"2026-3-1","0.8800","0.8767","0.8879","0.8765","","0.38%"
"2026-2-1","0.8767","0.8898","0.8906","0.8734","","-1.46%"
"2026-1-1","0.8897","0.8986","0.8999","0.8895","","-0.99%"
"2025-12-1","0.8986","0.9087","0.9092","0.8975","","-1.11%"
"2025-11-1","0.9087","0.9159","0.9174","0.9086","","-0.79%"
"2025-10-1","0.9159","0.9148","0.9187","0.9131","","0.12%"
"2025-9-1","0.9148","0.9145","0.9174","0.9132","","0.03%"
"2025-8-1","0.9145","0.9173","0.9217","0.9131","","-0.31%"
"2025-7-1","0.9173","0.9126","0.9173","0.9107","","0.52%"
"2025-6-1","0.9126","0.9182","0.9183","0.9118","","-0.61%"
"2025-5-1","0.9182","0.9376","0.9383","0.9149","","-2.07%"
"2025-4-1","0.9376","0.9328","0.9480","0.9327","","0.51%"
"2025-3-1","0.9328","0.9364","0.9379","0.9286","","-0.38%"
"2025-2-1","0.9364","0.9305","0.9385","0.9302","","0.62%"
"2025-1-1","0.9306","0.9396","0.9430","0.9294","","-0.96%"
"2024-12-1","0.9396","0.9308","0.9408","0.9306","","0.96%"
"2024-11-1","0.9306","0.9157","0.9328","0.9116","","1.63%"
"2024-10-1","0.9157","0.9030","0.9192","0.9025","","1.42%"
"2024-9-1","0.9028","0.9094","0.9138","0.9009","","-0.71%"
"2024-8-1","0.9093","0.9240","0.9274","0.9084","","-1.60%"
"2024-7-1","0.9240","0.9307","0.9320","0.9236","","-0.72%"
"2024-6-1","0.9307","0.9262","0.9311","0.9259","","0.49%"
"2024-5-1","0.9261","0.9255","0.9286","0.9218","","0.08%"
"2024-4-1","0.9254","0.9228","0.9262","0.9227","","0.29%"
"2024-3-1","0.9226","0.9182","0.9247","0.9166","","0.50%"
"2024-2-1","0.9181","0.9168","0.9205","0.9167","","0.15%"
"2024-1-1","0.9167","0.9092","0.9207","0.9083","","0.85%"
"2023-12-1","0.9090","0.9137","0.9205","0.9068","","-0.51%"
"2023-11-1","0.9136","0.9351","0.9358","0.9117","","-2.29%"
"2023-10-1","0.9350","0.9324","0.9364","0.9292","","0.28%"
"2023-9-1","0.9323","0.9257","0.9378","0.9238","","0.73%"
"2023-8-1","0.9255","0.9160","0.9345","0.9156","","1.06%"
"2023-7-1","0.9159","0.9254","0.9280","0.9108","","-1.01%"
"2023-6-1","0.9253","0.9083","0.9277","0.9003","","1.88%"
"2023-5-1","0.9082","0.8805","0.9085","0.8781","","3.15%"
"2023-4-1","0.8804","0.8751","0.8834","0.8704","","0.63%"
"2023-3-1","0.8748","0.8833","0.8888","0.8685","","-0.94%"
"2023-2-1","0.8832","0.8615","0.8887","0.8553","","2.53%"
"2023-1-1","0.8614","0.8833","0.8865","0.8569","","-2.47%"
"2022-12-1","0.8831","0.9081","0.9111","0.8833","","-2.69%"
"2022-11-1","0.9075","0.9304","0.9336","0.8962","","-2.44%"
"2022-10-1","0.9302","0.9065","0.9312","0.9055","","2.65%"
"2022-9-1","0.9062","0.8779","0.9237","0.8778","","3.25%"
"2022-8-1","0.8777","0.8591","0.8821","0.8567","","2.17%"
"2022-7-1","0.8590","0.8538","0.8627","0.8518","","0.63%"
"2022-6-1","0.8536","0.8503","0.8614","0.8460","","0.41%"
"2022-5-1","0.8502","0.8422","0.8679","0.8398","","0.95%"
"2022-4-1","0.8421","0.8094","0.8476","0.8092","","4.05%"
"2022-3-1","0.8094","0.8074","0.8160","0.8068","","0.26%"
"2022-2-1","0.8073","0.8158","0.8173","0.8068","","-1.03%"
"2022-1-1","0.8157","0.8153","0.8185","0.8112","","0.11%"
"2021-12-1","0.8148","0.8162","0.8191","0.8130","","-0.16%"
"2021-11-1","0.8161","0.8235","0.8236","0.8160","","-0.88%"
"2021-10-1","0.8234","0.8280","0.8302","0.8202","","-0.53%"
"2021-9-1","0.8278","0.8307","0.8321","0.8262","","-0.35%"
"2021-8-1","0.8306","0.8313","0.8351","0.8296","","-0.07%"
"2021-7-1","0.8313","0.8316","0.8369","0.8299","","-0.04%"
"2021-6-1","0.8316","0.8208","0.8358","0.8197","","1.34%"
"2021-5-1","0.8206","0.8335","0.8346","0.8191","","-1.53%"
"2021-4-1","0.8333","0.8429","0.8463","0.8323","","-1.12%"
"2021-3-1","0.8428","0.8348","0.8464","0.8322","","0.99%"
"2021-2-1","0.8345","0.8291","0.8371","0.8290","","0.70%"